ImageId,EncodedPixels
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,133611 1 133618 1 134116 1 134120 1 134124 3 134129 3 134629 5 134636 9 135140 7 135148 11 135160 1 135646 27 136157 30 136669 30 137181 31 137694 30 138206 31 138717 33 139229 33 139741 33 140251 35 140764 37 141277 36 141788 37 142301 36 142813 36 143325 36 143837 36 144349 36 144860 37 145373 36 145886 35 146398 35 146911 34 147423 34 147935 33 148448 32 148961 30 149474 28 149503 1 149988 25 150502 23 151014 23 151525 1 151529 19 152038 1 152044 15 152556 1 152561 10 153078 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,20940 2 21454 1 21965 1 22475 3 22983 8 23495 8 24007 9 24022 1 24519 11 24533 4 24540 1 25031 12 25045 8 25543 22 26054 24 26566 24 27075 26 27586 1 27588 26 27615 2 28100 26 28127 2 28612 29 29123 30 29635 30 30147 2 30150 26 30659 2 30662 24 31169 2 31174 24 31681 1 31685 25 32197 26 32226 1 32709 30 33220 32 33732 31 34243 32 34756 31 35267 1 35271 25 35779 1 35784 19 35804 5 36295 20 36317 5 36807 20 36830 4 37317 24 37343 2 37346 1 37829 24 37858 1 38344 16 38362 2 38861 11 39372 11 39884 11 40396 11 40908 10 41420 10 41932 3 41937 2 42444 1 42956 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,79745 1 80255 2 80767 6 81278 8 81789 9 82302 8 82814 9 83326 6 83334 1 83837 1 83839 1 83841 2
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,230268 1 230276 1 230779 2 230786 7 231285 1 231289 20 231797 25 232309 27 232819 30 233326 1 233329 33 233838 1 233840 35 234350 38 234863 38 235375 39 235886 41 236398 40 236909 42 237421 43 237933 43 238445 43 238957 44 239469 44 239982 44 240494 44 241006 43 241518 43 242030 43 242542 43 243055 42 243567 43 244080 40 244593 39 245105 39 245617 38 246128 38 246640 37 247153 36 247667 34 248179 33 248691 32 249207 27 249719 1 249721 24 250234 22 250257 1 250744 3 250748 19 251257 2 251261 17 251777 3 251781 4 251787 3 252295 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,230756 1 231267 1 231778 2 232290 3 232801 1 232803 2 233315 3 233828 4 234339 6 234852 1 234855 3
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,284498 1 285010 1 285521 2 286031 2 286035 1 286539 7 287051 7 287563 7 288075 7 288587 7 289099 7 289611 7 290124 6 290638 3 291151 2 291663 2 292175 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,115025 1 115027 1 115537 2 116043 9 116551 16 117061 19 117569 25 118081 25 118592 26 119102 29 119614 30 120125 29 120635 31 121147 33 121659 33 122169 34 122682 33 123194 34 123705 34 124215 36 124727 37 125239 37 125751 37 126263 37 126775 37 127286 38 127798 38 128311 37 128823 37 129335 38 129848 37 130360 38 130873 37 131385 37 131896 1 131898 36 132408 1 132410 37 132922 37 133434 38 133946 39 134457 39 134970 38 135481 39 135993 39 136505 39 137016 40 137528 40 138037 44 138548 43 139060 42 139571 43 140082 44 140594 43 141105 44 141615 45 141661 1 142127 45 142637 45 143150 45 143661 47 144174 45 144685 45 145197 44 145709 42 146221 41 146733 39 147245 38 147757 38 148268 39 148781 39 149294 38 149806 36 150319 31 150352 1 150831 30 151344 28 151859 25 152372 23 152885 18 153399 15 153915 6 153923 2 154426 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,92956 2 92966 1 93468 3 93473 1 93477 3 93979 12 94490 15 94509 3 94999 22 95024 1 95512 22 96023 23 96534 24 97045 25 97556 26 98068 27 98099 1 98580 27 98609 3 99092 32 99604 32 100115 33 100628 32 101140 33 101651 34 102163 35 102675 35 103186 37 103697 38 104210 38 104722 38 105235 37 105747 39 106261 37 106773 35 106809 2 107286 33 107321 2 107800 30 107833 3 108314 27 108346 3 108828 7 108836 18 109342 3 109348 18 109861 12 109874 5 110375 8 110387 5 110887 8 110897 3 111398 3 111404 2 111409 1 111916 1 111919 1 112428 3 112942 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,5907 5 6415 1 6417 8 6927 10 7443 7 7453 2 7954 9 7965 1 8465 12 8977 15 8997 1 9489 19 9509 1 10001 20 10513 21 11024 22 11538 21 11561 1 12050 22 12073 1 12560 25 13073 24 13587 19 14100 17 14612 17 15125 15 15640 12 16154 7 16666 6
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,129755 2 130267 2 130779 1 131291 4 131296 1 131802 5 131809 1 132314 8 132826 7 132834 1 133338 3
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,35983 2 36496 1 36499 1 37009 3 37521 3 38033 4 38545 5 39059 2 39571 2 40082 1 40085 1 40597 1
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,40 48 552 48 1063 49 1576 49 2088 50 2600 51 3112 53 3166 1 3623 55 4135 55 4191 2 4647 59 5159 60 5220 1 5671 62 6182 67 6696 64 7209 63 7722 63 8234 64 8747 63 9259 63 9323 1 9772 63 10285 62 10797 62 11310 60 11823 59 12335 60 12848 59 13360 59 13874 57 14387 55 14903 51 15418 47 15931 45 16443 1 16448 40 16963 36 17475 36 17988 1 17994 28 18023 1 18500 1 18507 26 19020 25 19533 23 20046 21 20561 19 21075 16 21589 2 21592 3 21601 1 22105 2
1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e,76289 2 76801 4 76807 1 77313 5 77319 2 77825 9 78337 8 78849 10 79361 10 79873 11 80385 11 80897 12 81409 12 81921 13 82433 14 82945 14 83457 15 83969 17 84481 18 84993 19 85505 19 86017 20 86529 20 87041 21 87553 21 88065 21 88577 21 89089 22 89601 22 90113 17 90625 14 91138 1 91144 1 91146 3
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,79040 1 79298 3 79557 4 79817 4 80077 4 80337 4 80599 2 80860 1
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,65000 1 65259 2 65518 3 65777 4 66037 4 66297 4
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,28857 1 28860 1 29115 6 29375 6 29636 5 29897 4 30156 5 30419 2 30680 1
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,60060 1 60319 2 60577 4 60836 5 61095 6 61355 6 61614 7 61874 7 62134 7 62394 4
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,68891 6 69149 10 69407 13 69666 14 69926 14 70184 16 70444 16 70705 15 70964 15 71224 14 71485 11 71749 5
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,31708 5 31714 1 31964 12 32222 16 32481 17 32741 16 33001 15 33261 13 33523 8 33785 1
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,51989 4 52246 8 52504 11 52762 13 53020 15 53280 15 53540 15 53800 13 54061 11 54321 7
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,37680 3 37938 6 38197 8 38457 8 38717 9 38977 9 39238 8 39497 9 39757 9 40017 9 40277 8 40537 7 40797 6 41059 1
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,88124 3 88379 9 88637 12 88896 14 89155 15 89415 14 89675 13 89935 6 89943 1 90197 2
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,47815 1 48073 1 48075 3 48333 6 48594 4 48854 3 49114 2
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,6466 3 6724 7 6984 7 7244 8 7504 8 7764 7 8024 6 8284 4 8544 3
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,56645 4 56903 6 57161 8 57419 8 57678 9 57937 9 58197 9 58457 8 58717 4 58722 1
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,37132 2 37390 5 37648 7 37907 8 38166 9 38426 9 38687 6
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,73787 8 74045 11 74303 14 74563 14 74823 14 75083 15 75344 14 75604 14 75865 13 76126 12 76386 11 76647 10 76906 10 77165 10 77179 5 77425 11 77438 7 77685 21 77944 23 78204 23 78464 24 78724 24 78984 24 79245 22 79505 22 79766 16 80028 14 80290 11
df40099c6306ca1f47fcc8a62e2fa39486d4e223177afdc51b2ad189691802d8,56618 5 56877 7 57136 9 57396 10 57656 10 57916 10 58177 10 58437 9 58699 7 58961 3
